DESCRIPTION OF EQUIPMENT,Manufacturer,Model,RDB_Part_Template
2-Wavelength Fluorometer for Glider: FLORD Series M,WET Labs,ECO Puck FLBB-SLC,Acomms-DUBO_343_Science Bay
2-Wavelength Fluorometer: FLNTU Series A,WET Labs,FLNTURTD,
2-Wavelength Fluorometer: FLORD Series D,WET Labs,ECO Triplet-w,Acomms-DUBO_343_Science Bay
2-Wavelength Fluorometer: FLORD Series G,WET Labs,ECO FLBB-SB,Acomms-DUBO_343_Science Bay
2-Wavelength Fluorometer: FLORD Series L,WET Labs,FLBBRTD,Acomms-DUBO_343_Science Bay
3-Axis Motion Pack: MOPAK,MicroStrain,3DM-GX3-25,Acomms-DUBO_343_Science Bay
3-D Single Point Velocity Meter: VEL3D Series A,Falmouth Scientific,ACM-Plus-MP,Acomms-DUBO_343_Science Bay
3-D Single Point Velocity Meter: VEL3D Series B,Nobska,MAVS-4,Acomms-DUBO_343_Science Bay
3-D Single Point Velocity Meter: VEL3D Series C,Nortek,VECTOR,Acomms-DUBO_343_Science Bay
3-D Single Point Velocity Meter: VEL3D Series D,Nortek,VECTOR,Acomms-DUBO_343_Science Bay
3-D Single Point Velocity Meter: VEL3D Series K,Nortek,Aquadopp,Acomms-DUBO_343_Science Bay
3-D Single Point Velocity Meter: VEL3D Series L,Falmouth Scientific,ACM-Plus,Acomms-DUBO_343_Science Bay
3-Wavelength Fluorometer for Glider: FLORT Series M,WET Labs,ECO Puck FLBBCD-SLK,Acomms-DUBO_343_Science Bay
3-Wavelength Fluorometer for Glider: FLORT Series O,WET Labs,ECO Puck BB3,Acomms-DUBO_343_Science Bay
3-Wavelength Fluorometer: FLORT Series D,WET Labs,ECO Triplet-w,Acomms-DUBO_343_Science Bay
3-Wavelength Fluorometer: FLORT Series J,WET Labs,ECO Triplet-w,Acomms-DUBO_343_Science Bay
3-Wavelength Fluorometer: FLORT Series K,WET Labs,ECO Triplet,Acomms-DUBO_343_Science Bay
"ADCP 5-Beam, 600 kHz Acoustic Doppler Current Profiler: VADCP Series A",Teledyne RDI,WH600-I-5BEAM-UG2,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (long range): ADCPS Series I,Teledyne RDI,WHLM75-1500,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (long range): ADCPS Series J,Teledyne RDI,WHLS75-1500,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (long range): ADCPS Series K,Teledyne RDI,WHLM75-1500,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (long range): ADCPS Series L,Teledyne RDI,WHLS75-1500-I,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (long range): ADCPS Series N,Teledyne RDI,WHLS75-6KS-I,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (short range) for Glider: ADCPA Series M,Teledyne RDI,Explorer DVL 600 kHz,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (short range): ADCPT Series A,Teledyne RDI,WHS600-500,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (short range): ADCPT Series B,Teledyne RDI,WHM300-500,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (short range): ADCPT Series C,Teledyne RDI,WHS300-500,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (short range): ADCPT Series D,Teledyne RDI,WHM150-1500,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (short range): ADCPT Series E,Teledyne RDI,WHM150-6000,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (short range): ADCPT Series F,Teledyne RDI,WHS150-1500,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (short range): ADCPT Series G,Teledyne RDI,WHS150-1500-I,Acomms-DUBO_343_Science Bay
ADCP Velocity Profiler (short range): ADCPT Series M,Teledyne RDI,WHS600-500,Acomms-DUBO_343_Science Bay
Benthic Fluid Flow: FLOBN Series C,Michael Tryon,CAT,Acomms-DUBO_343_Science Bay
Benthic Fluid Flow: FLOBN Series M,Solomon,Mosquito,Acomms-DUBO_343_Science Bay
Bio-acoustic Sonar: ZPLSC Series B,Kongsberg Underwater Technology Inc,EK-60,Acomms-DUBO_343_Science Bay
Bio-acoustic Sonar: ZPLSC Series C,ASL Environmental,AZFP,Acomms-DUBO_343_Science Bay
Bio-acoustic Sonar: ZPLSG Series A,ASL Environmental,AZFP,Acomms-DUBO_343_Science Bay
Bottom Pressure and Tilt: BOTPT Series A,NOAA-PMEL,Custom,Acomms-DUBO_343_Science Bay
Broadband Acoustic Receiver (Hydrophone): HYDBB Series A,Ocean Sonics,icListen SB35-ETH,Acomms-DUBO_343_Science Bay
Broadband Ocean Bottom Seismometer: OBSBB Series A,Guralp,1T/5T/DM24,Acomms-DUBO_343_Science Bay
Bulk Meteorology Instrument Package: METBK BPR Module,Star Engineering,ABS106-BPR,Acomms-DUBO_343_Science Bay
Bulk Meteorology Instrument Package: METBK CTD Module,Sea-Bird Electronics,SBE 37-SM,Acomms-DUBO_343_Science Bay
Bulk Meteorology Instrument Package: METBK HRH Module,Star Engineering,ABS102-HRH,Acomms-DUBO_343_Science Bay
Bulk Meteorology Instrument Package: METBK LGR Module,Star Engineering,ASIMET,Acomms-DUBO_343_Science Bay
Bulk Meteorology Instrument Package: METBK LWR Module,Star Engineering,ABS104-LWR,Acomms-DUBO_343_Science Bay
Bulk Meteorology Instrument Package: METBK PRC Module,Star Engineering,ABS103-PRC,Acomms-DUBO_343_Science Bay
Bulk Meteorology Instrument Package: METBK SWR Module,Star Engineering,ABS105-SWR,Acomms-DUBO_343_Science Bay
Bulk Meteorology Instrument Package: METBK WND Module,Star Engineering,ABS101-SWND,Acomms-DUBO_343_Science Bay
Cabled Wire-Following Profiler Controller: Docking Station,APL,DP Docking Station,Acomms-DUBO_343_Science Bay
CDOM Fluorometer: FLCDR Series A,WET Labs,FLCDRTD,Acomms-DUBO_343_Science Bay
CTD for Glider: CTDGV Series M,Sea-Bird Electronics,SBE Slocum Glider Payload CTD (GP-CTD),Acomms-DUBO_343_Science Bay
CTD Mooring (Inductive): CTDMO Series G,Sea-Bird Electronics,SBE 37-IM,Acomms-DUBO_343_Science Bay
CTD Mooring (Inductive): CTDMO Series H,Sea-Bird Electronics,SBE 37-IM,Acomms-DUBO_343_Science Bay
CTD Mooring (Inductive): CTDMO Series Q,Sea-Bird Electronics,SBE 37-IM,Acomms-DUBO_343_Science Bay
CTD Mooring (Inductive): CTDMO Series R,Sea-Bird Electronics,SBE 37-IM,Acomms-DUBO_343_Science Bay
CTDPFA Series A wth optode,MARUM,16plusV2 with SBE 63 optode,Acomms-DUBO_343_Science Bay
CTD Profiler: CTDPF Series A,Sea-Bird Electronics,SBE 16plus V2,Acomms-DUBO_343_Science Bay
CTD Profiler: CTDPF Series B,Sea-Bird Electronics,SBE 16plus V2,Acomms-DUBO_343_Science Bay
CTD Profiler: CTDPF Series J,Sea-Bird Electronics,SBE 49 Fast CAT,Acomms-DUBO_343_Science Bay
CTD Profiler: CTDPF Series K,Sea-Bird Electronics,SBE 52-MP,Acomms-DUBO_343_Science Bay
CTD Profiler: CTDPF Series L,Sea-Bird Electronics,SBE 52-MP,Acomms-DUBO_343_Science Bay
CTD Pumped: CTDBP Series C,Sea-Bird Electronics,SBE 16plus V2,Acomms-DUBO_343_Science Bay
CTD Pumped: CTDBP Series D,Sea-Bird Electronics,SBE 16plus V2,Acomms-DUBO_343_Science Bay
CTD Pumped: CTDBP Series E,Sea-Bird Electronics,SBE 16plus V2,Acomms-DUBO_343_Science Bay
CTD Pumped: CTDBP Series F,Sea-Bird Electronics,SBE 16plus V2,Acomms-DUBO_343_Science Bay
CTD Pumped: CTDBP Series N,Sea-Bird Electronics,SBE 16plus V2,Acomms-DUBO_343_Science Bay
CTD Pumped: CTDBP Series O,Sea-Bird Electronics,SBE 16plus V2,Acomms-DUBO_343_Science Bay
CTD Pumped: CTDBP Series P,Sea-Bird Electronics,SBE 16plus-IM V2,Acomms-DUBO_343_Science Bay
Diffuse Vent Fluid 3-D Temperature Array: TMPSF Series A,RBR Global,XR-420-T24,Acomms-DUBO_343_Science Bay
Direct Covariance Flux: FDCHP Series A,WHOI,DCFS,Acomms-DUBO_343_Science Bay
Direct Covariance Flux: FDCHP Series B,WHOI,DCFS with R3-50 anemometer,Acomms-DUBO_343_Science Bay
Dissolved Oxygen Fast Response: DOFST Series A,Sea-Bird Electronics,SBE 43,Acomms-DUBO_343_Science Bay
Dissolved Oxygen Fast Response: DOFST Series K,Sea-Bird Electronics,SBE 43F,Acomms-DUBO_343_Science Bay
Dissolved Oxygen Stable Response for Glider: DOSTA Series M,Aanderaa,Optode 4831,Acomms-DUBO_343_Science Bay
Dissolved Oxygen Stable Response: DOSTA Series D,Aanderaa,Optode 4831,Acomms-DUBO_343_Science Bay
Dissolved Oxygen Stable Response: DOSTA Series J,Aanderaa,Optode 4831,Acomms-DUBO_343_Science Bay
Dissolved Oxygen Stable Response: DOSTA Series L,Aanderaa,Optode 4330,Acomms-DUBO_343_Science Bay
HD Digital Video Camera with Strobes: CAMHD Series A,APL,Custom,Acomms-DUBO_343_Science Bay
"Horizontal Electric Field, Pressure and Inverted Echo Sounder: HPIES Series A",APL,Custom,Acomms-DUBO_343_Science Bay
Hydrogen Sensor: HYDGN,RKI Instruments,M2A transmitters,Acomms-DUBO_343_Science Bay
Hydrothermal Vent Fluid In-situ Chemistry: THSPH Series A,University of Minnesota,Custom,Acomms-DUBO_343_Science Bay
Hydrothermal Vent Fluid Interactive Sampler (Remote Access Sampler): RASFL Series A,NOAA-PMEL,RASPPS,Acomms-DUBO_343_Science Bay
Hydrothermal Vent Fluid Temperature and Resistivity: TRHPH Series A,"Marv Lilley Lab, UW",Custom,Acomms-DUBO_343_Science Bay
Low Frequency Broadband Acoustic Receiver (Hydrophone): HYDLF Series A,HTI,HTI-90-U,Acomms-DUBO_343_Science Bay
Nitrate for Glider: NUTNR Series M,Satlantic,SUNA,Acomms-DUBO_343_Science Bay
Nitrate: NUTNR Series A,Satlantic,Deep SUNA,Acomms-DUBO_343_Science Bay
Nitrate: NUTNR Series B,Satlantic,ISUS,Acomms-DUBO_343_Science Bay
Nitrate: NUTNR Series J,Satlantic,SUNA V2,Acomms-DUBO_343_Science Bay
NOC CUSTARD Nitrate sensor,NOC UK,LOC-Nitrate,Acomms-DUBO_343_Science Bay
NOC CUSTARD Silicate sensor,NOC UK,LOC-Silicate,Acomms-DUBO_343_Science Bay
Osmosis-Based Water Sampler: OSMOI Series A,TLR Inc.,OsmoSampler,Acomms-DUBO_343_Science Bay
OVRSR Series A,MARUM,R2 Sonic 2022,Acomms-DUBO_343_Science Bay
Particulate DNA Sampler: PPSDN Series A,NOAA-PMEL,PPS,Acomms-DUBO_343_Science Bay
pCO2 Air-Sea: PCO2A Series A,Pro-Oceanus,pCO2-pro,Acomms-DUBO_343_Science Bay
pCO2 Water: PCO2W Series A,Sunburst Sensors,SAMI-pCO2,Acomms-DUBO_343_Science Bay
pCO2 Water: PCO2W Series B,Sunburst Sensors,SAMI-pCO2,Acomms-DUBO_343_Science Bay
pCO2 Water: PCO2W Series C,Sunburst Sensors,SAMI-pCO2,Acomms-DUBO_343_Science Bay
Photosynthetically Available Radiation for Glider: PARAD Series M,Biospherical Instruments,QSP-2155,Acomms-DUBO_343_Science Bay
Photosynthetically Available Radiation: PARAD Series A,Satlantic,Satlantic digital PAR,Acomms-DUBO_343_Science Bay
Photosynthetically Available Radiation: PARAD Series J,WET Labs,ECO PARS,Acomms-DUBO_343_Science Bay
Photosynthetically Available Radiation: PARAD Series K,Biospherical Instruments,QSP-2200,Acomms-DUBO_343_Science Bay
QNTSR Series A,MARUM,Kongsberg 1171-Series Scanning Sonar,Acomms-DUBO_343_Science Bay
Seafloor Mass Spectrometer Instrument in titanium housing: MASSP Series A,Harvard University,Custom,Acomms-DUBO_343_Science Bay
Seafloor Pressure: PRESF Series A,Sea-Bird Electronics,SBE 26plus,Acomms-DUBO_343_Science Bay
Seafloor Pressure: PRESF Series B,Sea-Bird Electronics,SBE 26plus,Acomms-DUBO_343_Science Bay
Seafloor Pressure: PRESF Series C,Sea-Bird Electronics,SBE 26plus,Acomms-DUBO_343_Science Bay
Seawater pH: PHSEN Series A,Sunburst Sensors,SAMI-pH,Acomms-DUBO_343_Science Bay
Seawater pH: PHSEN Series D,Sunburst Sensors,SAMI-pH,Acomms-DUBO_343_Science Bay
Seawater pH: PHSEN Series E,Sunburst Sensors,SAMI-pH,Acomms-DUBO_343_Science Bay
Seawater pH: PHSEN Series F,Sunburst Sensors,SAMI-pH,Acomms-DUBO_343_Science Bay
Short-Period Ocean Bottom Seismometer 1 to 100Hz: OBSSP Series A,Guralp,CMG-6TF,Acomms-DUBO_343_Science Bay
Single Point Velocity Meter: VELPT Series A,Nortek,Aquadopp,Acomms-DUBO_343_Science Bay
Single Point Velocity Meter: VELPT Series B,Nortek,Aquadopp,Acomms-DUBO_343_Science Bay
Single Point Velocity Meter: VELPT Series D,Nortek,Aquadopp,Acomms-DUBO_343_Science Bay
Single Point Velocity Meter: VELPT Series J,Nortek,Aquadopp,Acomms-DUBO_343_Science Bay
Spectral Irradiance: SPKIR Series A,Satlantic,OCR507 ICSW,Acomms-DUBO_343_Science Bay
Spectral Irradiance: SPKIR Series B,Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),Acomms-DUBO_343_Science Bay
Spectral Irradiance: SPKIR Series J,Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),Acomms-DUBO_343_Science Bay
Spectrophotometer: OPTAA Series C,WET Labs,AC-S Deep,Acomms-DUBO_343_Science Bay
Spectrophotometer: OPTAA Series D,WET Labs,AC-S,Acomms-DUBO_343_Science Bay
Spectrophotometer: OPTAA Series J,WET Labs,AC-S,Acomms-DUBO_343_Science Bay
Surface Wave Spectra: WAVSS Series A,AXYS Technologies,TRIAXYS Directional Wave Sensor,Acomms-DUBO_343_Science Bay
"Tidal Seafloor Pressure (Tsunameter 2,000 psia): PREST Series B",Sea-Bird Electronics,SBE 54,Acomms-DUBO_343_Science Bay
"Tidal Seafloor Pressure (Tsunameter 6,000 psia): PREST Series A",Sea-Bird Electronics,SBE 54,Acomms-DUBO_343_Science Bay
Underwater Digital Still Camera: CAMDS Series A,Kongsberg Underwater Technology Inc,Custom,Acomms-DUBO_343_Science Bay
Underwater Digital Still Camera: CAMDS Series B,Kongsberg Underwater Technology Inc,Custom,Acomms-DUBO_343_Science Bay
Underwater Digital Still Camera: CAMDS Series C,Kongsberg Underwater Technology Inc,Custom,Acomms-DUBO_343_Science Bay
3-Wavelength Flourometer for AUV: FLORT Series N,WET Labs,BBFL2HYD,Acomms-DUBO_343_Science Bay
Dissolved Oxygen for AUV: DOSTA Series N,Aanderaa,Optode 4330,Acomms-DUBO_343_Science Bay
CTD for AUV: CTD Series N,Sea-Bird Electronics,SBE AUV Payload CTD,Acomms-DUBO_343_Science Bay
Nitrate for AUV: NUTNR Series N,Satlantic,SUNA,Acomms-DUBO_343_Science Bay
ADCP for AUV: ADCPA series N,Teledyne RDI,Explorer DVL 600 kHz,Acomms-DUBO_343_Science Bay
Photosynthetically Available Radiation for AUV: PARAD Series N,Biospherical Instruments,QSP-2155,Acomms-DUBO_343_Science Bay
